user,check_in_time,lat,lon,loc_id
2,2010-09-05T23:11:32Z,37.71034324,-122.21212446,425051
2,2010-09-05T20:47:11Z,37.8788561833,-122.18273835,598073
2,2010-09-03T19:33:26Z,37.8516256833,-122.2524540167,886411
2,2010-09-02T16:30:58Z,37.77124041,-122.22178357,215787
4,2010-07-16T01:47:15Z,37.7711144167,-122.4865754167,63176
5,2010-03-02T00:06:39Z,30.288773012,-97.7285009623,164031
5,2010-02-19T03:03:11Z,30.2798881558,-97.7198159695,22535
15,2010-09-23T01:13:10Z,30.2650906296,-97.7475500107,236755
22,2010-03-05T14:21:31Z,40.7605950167,-73.9610931167,411143
22,2009-12-31T03:18:08Z,45.5230556045,-122.6812309027,17645
22,2009-12-22T02:05:49Z,40.76358475,-73.9478492667,25369
25,2009-11-13T04:10:38Z,37.7819139667,-122.2381435833,39063
27,2010-08-02T18:59:18Z,30.2811204101,-97.7452111244,153505
28,2010-09-18T15:50:36Z,39.0003114939,-94.519956708,923109
31,2010-10-17T19:20:18Z,30.26766669,-97.7709388733,9262
32,2010-09-01T03:24:21Z,30.250076915,-97.747402697,1504429
32,2010-05-31T02:02:41Z,30.2546525,-97.762506,13031
34,2010-09-03T21:47:03Z,43.65665577,-70.2526581801,547108
35,2010-08-25T13:03:35Z,33.177861694,-96.8846082687,49340
35,2010-06-25T17:48:20Z,33.0988399983,-96.8111801147,12207
35,2010-05-20T22:12:34Z,33.07141745,-96.8210360333,111304
35,2010-03-30T21:56:06Z,33.0812579756,-96.8313503265,64265
35,2010-03-20T16:43:44Z,33.1061468292,-96.8036055565,32705
35,2010-01-03T20:07:03Z,32.8661076833,-96.7419202167,142492
41,2010-07-16T12:43:57Z,28.4752931276,-81.4675068855,15400
52,2010-09-26T19:02:29Z,38.8894587026,-77.0352530479,9184
53,2010-10-19T23:05:55Z,37.4247548,-122.1691849167,255061
53,2010-10-17T02:21:52Z,37.7940546167,-122.4333037167,78799
53,2010-09-30T03:49:51Z,36.1128126641,-115.1738834381,11102
53,2010-08-18T14:07:27Z,37.4393692295,-122.1737730503,81187
53,2010-07-10T14:08:33Z,37.6005143333,-122.2107891333,44442
53,2010-06-13T20:17:21Z,37.8735033333,-122.2685652,16223
53,2010-05-01T01:24:34Z,37.7963564167,-122.4219402167,24665
53,2010-04-06T14:18:26Z,37.4251530707,-122.1458513893,736364
53,2010-04-05T00:23:47Z,37.7819106801,-122.3967319118,206144
53,2010-03-26T01:25:26Z,37.6822141333,-122.4872523833,794617
53,2010-03-13T21:50:35Z,37.7900145278,-122.4086380005,351407
54,2010-07-18T20:48:57Z,30.2862345637,-97.74497509,13690
54,2010-05-27T22:32:04Z,30.2694643323,-97.7499103546,293641
54,2010-01-16T20:57:39Z,42.3499335211,-71.0764253139,11131
58,2009-10-07T20:17:00Z,37.4159477566,-122.1519720554,38058
62,2009-09-27T19:55:23Z,42.3752618422,-71.1181256175,10842
66,2010-09-25T16:20:33Z,30.2725313677,-97.7536225319,45331
66,2010-08-18T23:21:15Z,30.2707337816,-97.7537029982,9241
71,2009-10-25T03:39:28Z,39.03981775,-94.5914402667,16241
72,2010-05-08T12:37:23Z,51.3682973333,-0.166141,653614
72,2010-04-18T08:50:35Z,51.4911619667,0.34239255,882207
73,2010-02-24T00:34:18Z,37.4706191667,-122.2142291,534038
74,2010-07-30T00:00:02Z,30.2328656347,-97.8649127483,132708
77,2010-04-03T23:18:49Z,29.9998473333,-98.1000169667,866466
77,2010-03-20T20:04:03Z,30.2453787516,-97.780444622,21093
79,2010-04-23T18:58:34Z,30.2477404167,-97.771193,35778
81,2010-03-17T02:37:18Z,30.2700851599,-97.7360540628,9326
85,2009-12-31T22:40:19Z,37.3765955167,-122.1169442667,39395
85,2009-10-22T20:45:23Z,37.447524563,-122.1599659087,28763
86,2010-08-11T00:43:34Z,37.7646295116,-122.394631505,21557
87,2010-06-16T00:50:55Z,37.3094756068,-121.9941138405,1141143
89,2010-03-13T23:00:21Z,30.268109,-97.749269,671459
89,2010-02-10T14:39:43Z,32.7944177569,-96.8000006676,9066
89,2009-10-24T18:39:08Z,32.9092874105,-96.8026512894,39439
95,2010-09-15T20:44:52Z,40.0171225133,-105.282958746,21228
96,2010-01-16T04:10:48Z,37.7524781167,-122.4182510333,11017
96,2009-11-05T21:26:35Z,37.7520639333,-122.4206202667,45629
98,2010-03-04T18:52:56Z,30.2158666167,-97.8307851,32563
100,2010-09-24T16:38:12Z,28.3553485833,-81.55940615,32769
100,2010-09-07T11:52:38Z,51.5191249066,-0.188215971,45281
101,2010-03-06T05:17:02Z,36.9648242833,-122.0425219833,262877
101,2010-01-04T18:40:12Z,42.3587381532,-71.0574889183,10283
103,2010-06-12T01:48:43Z,37.7892238951,-122.4099120498,64627
107,2010-07-15T20:34:34Z,39.0349449667,-94.5834122667,23148
110,2010-07-28T00:33:58Z,38.8816892167,-94.6837329167,67728
111,2010-10-06T14:11:46Z,42.351272135,-71.0741429491,28487
111,2010-10-04T14:16:27Z,42.3470155501,-71.0818755627,168933
114,2010-10-07T01:45:33Z,47.6843736167,-122.66057965,982640
114,2010-06-30T00:47:17Z,47.650825,-122.6794895333,180178
114,2010-06-15T20:41:07Z,47.6443125333,-122.6938244,555976
116,2010-08-28T01:43:15Z,30.310959277,-97.74269296,2587024
116,2010-02-09T19:28:38Z,30.2795831833,-97.7594679667,15678
116,2010-01-14T16:44:19Z,30.4076913248,-97.7133786678,26919
119,2010-10-14T18:26:16Z,26.1913948335,-80.138762204,364920
119,2010-09-19T16:25:20Z,26.2031396333,-80.133175,235292
119,2010-06-10T02:55:40Z,37.7862312667,-122.40858365,309718
121,2010-03-14T04:40:10Z,30.2662396721,-97.7459084988,9225
124,2010-08-30T22:03:58Z,37.7945523167,-122.3990751833,797492
