commodity_code,commodity_description,duty_expression,standardised_commodity_code
0101291000,"Live horses, asses, mules and hinnies
Horses
Other
For slaughter",0.0%,0101291000
0206801000,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen
Other, fresh or chilled
For the manufacture of pharmaceutical products",0/0%,0206801000
0206901000,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen
Other, frozen
For the manufacture of pharmaceutical products",0.0%,0206901000
0302311000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to0302 99
Albacore or longfinned tuna (Thunnus alalunga)
For the industrial manufacture of products of heading1604",0.0%,0302311000
0302321000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Yellowfin tuna (Thunnus albacares)
For the industrial manufacture of products of heading1604",0.0%,0302321000
0302331000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Skipjack or stripe-bellied bonito
For the industrial manufacture of products of heading 1604",0.0%,0302331000
0302341000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Bigeye tuna (Thunnus obesus)
For the industrial manufacture of products of heading 1604",0.0%,0302341000
0302351100,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)
Atlantic bluefin tuna (Thunnus thynnus)
For the industrial manufacture of products of heading 1604",0.0%,0302351100
0302359100,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91to 0302 99
Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)
Pacific bluefin tuna (Thunnus orientalis)
For the industrial manufacture of products of heading 1604",0.0%,0302359100
0302361000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91 to 0302 99
Southern bluefin tuna (Thunnus maccoyii)
For the industrial manufacture of products of heading 1604",0.0%,0302361000
0302392000,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302 91 to 0302 99
Other
For the industrial manufacture of products of heading 1604",0.0%,0302392000
0302491100,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302 91 to 0302 99
Other
Kawakawa (Euthynnus affinis)
For the industrial manufacture of products of heading 1604",0.0%,0302491100
0302892100,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304
Other fish, excluding edible fish offal of subheadings 0302 91 to 0302 99
Other
Other
Fish of the genus Euthynnus, other than the skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis) mentioned in subheading 0302 33 and other than Kawakawa (Euthynnus affinis) mentioned in subheading 0302 49
For the industrial manufacture of products of heading 1604",0.0%,0302892100
0303411000,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0303 91 to 0303 99
Albacore or longfinned tuna (Thunnus alalunga)
For the industrial manufacture of products of heading 1604",0.0%,0303411000
0303422000,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304
Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0303 91 to 0303 99
Yellowfin tuna (Thunnus albacares)
For the industrial manufacture of products of heading 1604",0.0%,0303422000
