commodity_code,goods_and_use_description,parent_and_commodity_description,usage_statements,commodity_description,standardised_commodity_code
0101291000,"Live horses, asses, mules and hinnies
Horses
Other
For slaughter","Live horses, asses, mules and hinnies
Horses
Other
For slaughter",empty_cell,For slaughter,0101291000
0102291010,"Live bovine animals
Cattle
Other
Other
Of a weight not exceeding 80kg
Young male bovine animals, intended for fattening","Live bovine animals
Cattle
Other
Other
Of a weight not exceeding 80kg
Young male bovine animals, intended for fattening",empty_cell,"Young male bovine animals, intended for fattening",0102291010
0102291020,"Live bovine animals
Cattle
Other
Other
Of a weight not exceeding 80kg
Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight not exceeding 80kg
Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102291020
0102291030,"Live bovine animals
Cattle
Other
Other
Of a weight not exceeding 80kg
Heifers of the Schwyz and Fribourg breeds, 
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight not exceeding 80kg
Heifers of the Schwyz and Fribourg breeds, 
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102291030
0102291040,"Live bovine animals
Cattle
Other
Other
Of a weight not exceeding 80kg
Heifers of the spotted Simmental breed, other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight not exceeding 80kg
Heifers of the spotted Simmental breed, other than for slaughter",empty_cell,"Heifers of the spotted Simmental breed, other than for slaughter",0102291040
0102291050,"Live bovine animals
Cattle
Other
Other
Of a weight not exceeding 80kg
Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight not exceeding 80kg
Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter",empty_cell,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter",0102291050
0102292910,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 80kg but not exceeding 160kg
Other
Young male bovine animals, intended for fattening","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 80kg but not exceeding 160kg
Other
Young male bovine animals, intended for fattening",empty_cell,"Young male bovine animals, intended for fattening",0102292910
0102292920,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 80kg but not exceeding 160kg
Other
Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 80kg but not exceeding 160kg
Other
Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter",empty_cell,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter",0102292920
0102292930,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 80kg but not exceeding 160kg
Other
Heifers of the Schwyz and Fribourg breeds
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 80kg but not exceeding 160kg
Other
Heifers of the Schwyz and Fribourg breeds
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102292930
0102292940,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 80kg but not exceeding 160kg
Other
Heifers of the spotted Simmental breed
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 80kg but not exceeding 160kg
Other
Heifers of the spotted Simmental breed
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102292940
0102292950,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 80kg but not exceeding 160kg
Other
Bulls of the Schwyz, Fribourg and spotted Simmental breeds
For the use other than for slaughter","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 80kg but not exceeding 160kg
Other
Bulls of the Schwyz, Fribourg and spotted Simmental breeds
For the use other than for slaughter",empty_cell,For the use other than for slaughter,0102292950
0102294910,"Live bovine animals
Cattle
Other
Other
Of a weight exceeding 160kg but not exceeding 300kg
Other
Young male bovine animals, intended for fattening","Live bovine animals
Cattle
Other
Other
Of a weight exceeding 160kg but not exceeding 300kg
Other
Young male bovine animals, intended for fattening",empty_cell,"Young male bovine animals, intended for fattening",0102294910
